insee_code,Commune,code_postal,adresse,prefixe_section,Section,No plan,id_parcelle,No voie,btq,Type de voie,Voie,surface_reelle_bati,n_sales,first_date,last_date,min_gap_days,years,first_price,last_price,ppm2_first,ppm2_last,pct_change,ann_pct,mutations
13210,MARSEILLE 10EME,13010,"252 CHE DE L ARMEE D AFRIQUE, 13010 MARSEILLE 10EME",860,C,199,132108600C0199,252.0,,CHE,DE L ARMEE D AFRIQUE,80.0,2,2021-08-06,2024-06-24,1053,2.88,345000.0,272750.0,4312.0,3409.0,-20.9,-7.8,"[{""date_mutation"": ""2021-08-06"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 345000.0, ""surface_reelle_bati"": 80.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": null, ""nb_lignes"": 1}, {""date_mutation"": ""2024-06-24"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 272750.0, ""surface_reelle_bati"": 80.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": null, ""nb_lignes"": 1}]"
13215,MARSEILLE 15EME,13015,"16 IMP SAVOURNIN, 13015 MARSEILLE 15EME",904,B,128,132159040B0128,16.0,,IMP,SAVOURNIN,90.0,2,2021-12-15,2024-07-04,932,2.55,233900.0,185000.0,2599.0,2056.0,-20.9,-8.8,"[{""date_mutation"": ""2021-12-15"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 233900.0, ""surface_reelle_bati"": 90.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 339.0, ""nb_lignes"": 1}, {""date_mutation"": ""2024-07-04"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 185000.0, ""surface_reelle_bati"": 90.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 339.0, ""nb_lignes"": 1}]"
13212,MARSEILLE 12EME,13012,"3 RUE DES CLEMATITES, 13012 MARSEILLE 12EME",877,X,166,132128770X0166,3.0,,RUE,DES CLEMATITES,60.0,2,2021-10-08,2024-06-28,994,2.72,740000.0,560000.0,12333.0,9333.0,-24.3,-9.7,"[{""date_mutation"": ""2021-10-08"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 740000.0, ""surface_reelle_bati"": 60.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": null, ""nb_lignes"": 1}, {""date_mutation"": ""2024-06-28"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 560000.0, ""surface_reelle_bati"": 60.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 874.0, ""nb_lignes"": 1}]"
13204,MARSEILLE 4EME,13004,"12 RUE DE CADOLIVE, 13004 MARSEILLE 4EME",815,E,125,132048150E0125,12.0,,RUE,DE CADOLIVE,27.0,3,2020-08-03,2024-12-27,550,1.51,140000.0,108500.0,5185.0,4019.0,-22.5,-15.6,"[{""date_mutation"": ""2020-08-03"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 140000.0, ""surface_reelle_bati"": 27.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 67.0, ""nb_lignes"": 1}, {""date_mutation"": ""2022-02-04"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 217000.0, ""surface_reelle_bati"": 27.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 67.0, ""nb_lignes"": 1}, {""date_mutation"": ""2024-12-27"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 108500.0, ""surface_reelle_bati"": 27.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 67.0, ""nb_lignes"": 1}]"
13215,MARSEILLE 15EME,13015,"18 BD DU PLATEAU QRT LA VISTE, 13015 MARSEILLE 15EME",907,D,74,132159070D0074,18.0,,BD,DU PLATEAU QRT LA VISTE,64.0,2,2021-05-21,2023-10-03,865,2.37,193000.0,120000.0,3016.0,1875.0,-37.8,-18.2,"[{""date_mutation"": ""2021-05-21"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 193000.0, ""surface_reelle_bati"": 64.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": null, ""nb_lignes"": 1}, {""date_mutation"": ""2023-10-03"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 120000.0, ""surface_reelle_bati"": 64.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": null, ""nb_lignes"": 1}]"
13207,MARSEILLE 7EME,13007,"46 RUE GEORGES SAINT-MARTIN, 13007 MARSEILLE 7EME",830,I,95,132078300I0095,46.0,,RUE,GEORGES SAINT-MARTIN,150.0,2,2021-07-15,2025-03-31,1355,3.71,799000.0,310000.0,5327.0,2067.0,-61.2,-22.5,"[{""date_mutation"": ""2021-07-15"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 799000.0, ""surface_reelle_bati"": 150.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 143.0, ""nb_lignes"": 1}, {""date_mutation"": ""2025-03-31"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 310000.0, ""surface_reelle_bati"": 150.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 143.0, ""nb_lignes"": 1}]"
13207,MARSEILLE 7EME,13007,"16 RUE MAGAUD, 13007 MARSEILLE 7EME",834,A,194,132078340A0194,16.0,,RUE,MAGAUD,51.0,2,2021-01-18,2023-12-19,1065,2.92,467000.0,208000.0,9157.0,4078.0,-55.5,-24.2,"[{""date_mutation"": ""2021-01-18"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 467000.0, ""surface_reelle_bati"": 51.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 35.0, ""nb_lignes"": 1}, {""date_mutation"": ""2023-12-19"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 208000.0, ""surface_reelle_bati"": 51.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 35.0, ""nb_lignes"": 1}]"
13209,MARSEILLE 9EME,13009,"196 CHE DE MORGIOU, 13009 MARSEILLE 9EME",846,B,335,132098460B0335,196.0,,CHE,DE MORGIOU,86.0,2,2021-06-17,2022-04-25,312,0.85,520000.0,410000.0,6047.0,4767.0,-21.2,-24.3,"[{""date_mutation"": ""2021-06-17"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 520000.0, ""surface_reelle_bati"": 86.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": null, ""nb_lignes"": 1}, {""date_mutation"": ""2022-04-25"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 410000.0, ""surface_reelle_bati"": 86.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": null, ""nb_lignes"": 1}]"
13207,MARSEILLE 7EME,13007,"58 RUE DOCT FREDERIC GRANIER, 13007 MARSEILLE 7EME",830,D,156,132078300D0156,58.0,,RUE,DOCT FREDERIC GRANIER,90.0,2,2023-01-06,2025-06-03,879,2.41,661150.0,321750.0,7346.0,3575.0,-51.3,-25.9,"[{""date_mutation"": ""2023-01-06"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 661150.0, ""surface_reelle_bati"": 90.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 91.0, ""nb_lignes"": 1}, {""date_mutation"": ""2025-06-03"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 321750.0, ""surface_reelle_bati"": 90.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 91.0, ""nb_lignes"": 1}]"
13214,MARSEILLE 14EME,13014,"6 BD LOUIS PRADE, 13014 MARSEILLE 14EME",895,E,357,132148950E0357,6.0,,BD,LOUIS PRADE,69.0,2,2022-03-30,2024-05-27,789,2.16,225000.0,104500.0,3261.0,1514.0,-53.6,-29.9,"[{""date_mutation"": ""2022-03-30"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 225000.0, ""surface_reelle_bati"": 69.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 331.0, ""nb_lignes"": 1}, {""date_mutation"": ""2024-05-27"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 104500.0, ""surface_reelle_bati"": 69.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 331.0, ""nb_lignes"": 1}]"
